Question and Choices,Answer
"Based on the question about grape, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where do you put your grapes just before checking out?
A. mouth
B. grocery cart
C. super market
D. fruit basket
E. fruit market",the correct choice is B which is grocery cart.
"Based on the question about getting divorce, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Before getting a divorce, what did the wife feel who was doing all the work?
A. harder
B. anguish
C. bitterness
D. tears
E. sadness",the correct choice is C which is bitterness.
"Based on the question about bench, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?
A. state park
B. bus depot
C. garden
D. gym
E. rest area",the correct choice is C which is garden.
"Based on the question about cooling off, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
James was cooling off two quickly.  He would die if he didn't find some way to stop what?
A. loss of heat
B. revenge
C. expansion
D. relaxation
E. calm down",the correct choice is A which is loss of heat.
"Based on the question about house, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Of all the rooms in a house it was his favorite, the aromas always drew him to the what?
A. yard
B. basement
C. kitchen
D. living room
E. garden",the correct choice is C which is kitchen.
"Based on the question about marsh, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?
A. low lands
B. new york
C. forest
D. louisiana
E. everglades",the correct choice is D which is louisiana.
"Based on the question about grill, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is it called when you slowly cook using a grill?
A. backyard
B. restaurant
C. crockpot
D. neighbor's house
E. barbeque",the correct choice is E which is barbeque.
"Based on the question about illness, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What type of person typically contracts illness?
A. hospital
B. head
C. sick person
D. elderly person
E. doctor's office",the correct choice is D which is elderly person.
"Based on the question about pizzeria, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you expect to find a pizzeria while shopping?
A. chicago
B. street
C. little italy
D. food court
E. capital cities",the correct choice is D which is food court.
"Based on the question about eating, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When eating everything on the tasting menu, what does one tend to feel?
A. full stomach
B. getting full
C. gaining weight
D. sick
E. satisfaction",the correct choice is B which is getting full.
"Based on the question about playing soccer, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What does playing soccer for a long time lead to?
A. excitement
B. fatigue
C. anger
D. hurting
E. getting tired",the correct choice is E which is getting tired.
"Based on the question about back, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Which entrance would you use if you do not want to use the back entrance?
A. side
B. main
C. anterior
D. current
E. front",the correct choice is B which is main.
"Based on the question about connection, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
You can share files with someone if you have a connection to a what?
A. freeway
B. radio
C. wires
D. computer network
E. electrical circuit",the correct choice is D which is computer network.
"Based on the question about accelerator, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?
A. car
B. fuel system
C. accelerate
D. boat
E. airplane",the correct choice is E which is airplane.
"Based on the question about lying, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sean was lying about the body, but he was very scared.  He constantly worried about what?
A. the reward money
B. hurt feelings
C. being found out
D. problems
E. trouble",the correct choice is C which is being found out.
"Based on the question about run errands, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?
A. park
B. make time for
C. receive instructions
D. take money
E. leave work",the correct choice is D which is take money.
"Based on the question about rest, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Though he could've kept going his body appreciated the rest, it had been constantly what during the day?
A. walk
B. lay down
C. working
D. moving
E. exercise",the correct choice is D which is moving.
"Based on the question about snake, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Too many people want exotic snakes.  The demand is driving what to carry them?
A. ditch
B. shop
C. north america
D. pet shops
E. outdoors",the correct choice is D which is pet shops.
"Based on the question about stabbing to death, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?
A. knife wounds
B. buy a gun
C. bleeding
D. jail time
E. law suit",the correct choice is E which is law suit.
"Based on the question about dust, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
To prevent any glare during the big football game he made sure to clean the dust of his what?
A. television
B. attic
C. corner
D. they cannot clean corner and library during football match they cannot need that
E. ground",the correct choice is A which is television.
"Based on the question about express information, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
I have something in my head I want to share, what ways can I do that?
A. write an essay
B. organize thoughts
C. speak information
D. summarize main points
E. have information",the correct choice is C which is speak information.
"Based on the question about house, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He wanted a house that was gated off from other places, where should he start looking?
A. neighborhood
B. subdivision
C. city
D. suburbs
E. street",the correct choice is B which is subdivision.
"Based on the question about canal, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where in Southern Europe would you find many canals?
A. michigan
B. new york
C. amsterdam
D. venice
E. bridge",the correct choice is D which is venice.
"Based on the question about camper, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What would a camper need to do before he or she can start cooking food?
A. make breakfast
B. go hiking
C. pack or bag
D. light fire
E. grab a match",the correct choice is D which is light fire.
"Based on the question about paper, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What could happen to a paper if you leave it outside even if it does not move?
A. one material often recycled
B. ripped
C. saturated with water
D. one dimensional
E. crumpled",the correct choice is C which is saturated with water.
"Based on the question about thick, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Mark's semen was very thick, but after his vasectomy it was also what?
A. blank
B. sparse
C. thin
D. clear
E. free flowing",the correct choice is D which is clear.
"Based on the question about sun, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is a great place to lay in the sun?
A. in the basement
B. west
C. solar system
D. beach
E. beans",the correct choice is D which is beach.
"Based on the question about seafood restaurant, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you find a seafood restaurant in the east coast of North America?
A. maine
B. boston
C. beach town
D. coastal cities
E. ocean",the correct choice is A which is maine.
"Based on the question about president, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The president is the leader of what institution?
A. walmart
B. white house
C. country
D. corporation
E. government",the correct choice is E which is government.
"Based on the question about watching tv, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sitting to close while watching TV can cause what sort of pain?
A. brain problems
B. laziness
C. get fat
D. headache
E. laughter",the correct choice is D which is headache.
"Based on the question about bald eagle, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is a bald eagle safe?
A. pine tree
B. open country
C. in washington
D. wildlife refuge
E. sky",the correct choice is D which is wildlife refuge.
"Based on the question about free, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?
A. costly
B. captive
C. contained
D. paying
E. caught",the correct choice is D which is paying.
"Based on the question about driving, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What kind of driving leads to accidents?
A. stressful
B. dangerous
C. fun
D. illegal
E. deadly",the correct choice is B which is dangerous.
"Based on the question about eating dinner, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is eating too much dinner likely to result in?
A. tiredness
B. living longer
C. stomach ache
D. illness
E. acid reflux",the correct choice is C which is stomach ache.
"Based on the question about chatting with friends, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is a person chatting with friends likely hoping to accomplish?
A. gathering of information
B. communication
C. feel relaxed
D. kill boredom
E. social bonding",the correct choice is E which is social bonding.
"Based on the question about sunshine, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?
A. disneyland
B. snow
C. windowsill
D. street
E. summer",the correct choice is D which is street.
"Based on the question about fox, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
A fox was thirsty searching for water during the drought, where was he?
A. painting
B. hen house
C. california
D. virginia
E. movie hall",the correct choice is C which is california.
"Based on the question about skiing, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What might be the result of a season of successful skiing?
A. finish line
B. broken bones
C. broken legs
D. chapped lips
E. healthy body",the correct choice is E which is healthy body.
"Based on the question about distance, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?
A. near
B. closeness
C. here
D. proximity
E. this",the correct choice is D which is proximity.
"Based on the question about eating lunch, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The man was eating lunch, but rushed when he looked at his watch, why did he rush?
A. gain weight
B. late for work
C. heartburn
D. bad breath
E. early for work",the correct choice is B which is late for work.
"Based on the question about mandatory, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The evacuation became mandatory, so what came on the TV?
A. advisory
B. mandate
C. soap opera
D. elective
E. optional",the correct choice is A which is advisory.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The person gave a good hands on what to show how to do the work?
A. demonstration
B. garage
C. building
D. barn
E. synagogue",the correct choice is A which is demonstration.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you see some people doing jumping jacks?
A. military base
B. opera
C. water fountain
D. bus stop
E. church",the correct choice is A which is military base.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The body guard was good at his duties, he made the person who hired him what?
A. better job
B. irritated
C. feel safe
D. save money
E. headache",the correct choice is C which is feel safe.
"Based on the question about learning language, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,
A. better communication
B. overthinking
C. frustration
D. misunderstandings
E. headaches",the correct choice is C which is frustration.
"Based on the question about killing people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?
A. going to jail
B. going to prison
C. beat him up
D. get arrested
E. die",the correct choice is D which is get arrested.
"Based on the question about fiddle, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is there usually a fiddle playing?
A. music store
B. dance hall
C. orchestra
D. symphony
E. tennessee",the correct choice is C which is orchestra.
"Based on the question about exhaustion, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is the only was to recover from exhaustion?
A. mediate
B. have rest
C. stay in bed
D. run out of steam
E. go to sleep",the correct choice is B which is have rest.
"Based on the question about money, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What would you do if you want to be able to earn money?
A. apply for job
B. stand in line
C. take care of proposals
D. pass course
E. play the lottery",the correct choice is A which is apply for job.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is a grumpy person likely to have?
A. headache
B. understand themselves
C. compliments
D. own house
E. happiness",the correct choice is A which is headache.
"Based on the question about drugs, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What do drugs do?
A. damage
B. cloud mind
C. lower i.q
D. cause illness
E. cause accidents",the correct choice is E which is cause accidents.
"Based on the question about beaver, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
A beaver can destroy a machines functionality if they build their dam in this?
A. strip club
B. pocket
C. millpond
D. ontario
E. lake or river",the correct choice is C which is millpond.
"Based on the question about booze, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?
A. reach tentative agreement
B. suicide
C. examine thing
D. commit murder
E. stay in bed",the correct choice is A which is reach tentative agreement.
"Based on the question about fungus, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where could a fungus grow and not be disturbed by sunlight?
A. under rocks
B. manhattan
C. toenails
D. grocery store
E. fallen tree",the correct choice is A which is under rocks.
"Based on the question about attending school, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Can you name a good reason for attending school?
A. get smart
B. boredom
C. colds and flu
D. taking tests
E. spend time",the correct choice is A which is get smart.
"Based on the question about fiddle, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What state south of Kentucky and north of Alabama will you find people playing the fiddle?
A. alabama
B. tennessee
C. violin case
D. music store
E. bow and strings",the correct choice is B which is tennessee.
"Based on the question about cut, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Though she made the cut years ago, its figurative scars would never what?
A. joining
B. put together
C. stitch
D. heal
E. paste",the correct choice is D which is heal.
"Based on the question about sex, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What does sex often make happen in people?
A. making love
B. feel good
C. happyness
D. wonderful thing
E. cloud judgment",the correct choice is B which is feel good.
"Based on the question about ball, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you see people in uniform playing with a ball?
A. hole
B. television
C. sporting goods store
D. pool table
E. sporting event",the correct choice is E which is sporting event.
"Based on the question about seafood restaurant, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What kind of place could have a seafood restaurant?
A. new york
B. coastal cities
C. city
D. coastal cities
E. boston",the correct choice is C which is city.
"Based on the question about head, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Who was the head of the branch yelling at?
A. owner
B. foot
C. subordinate
D. base
E. point",the correct choice is C which is subordinate.
"Based on the question about call, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He made another call, he did this all day hoping people would what well to his offer?
A. hang up
B. respond
C. contact
D. answer
E. attracting ducks",the correct choice is B which is respond.
"Based on the question about bookshop, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
She needs to visit a bookshop after buying the latest fashion, where should she look?
A. student union
B. mall
C. department store
D. library
E. town or city",the correct choice is B which is mall.
"Based on the question about advertisement, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where could you see an advertisement while reading news?
A. television
B. bus
C. email
D. web page
E. la ville",the correct choice is D which is web page.
"Based on the question about playing tennis, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is required to be good at playing tennis?
A. tennis racket
B. skill
C. competition
D. tennis court
E. legs",the correct choice is B which is skill.
"Based on the question about toll road, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What state is the John Davis  Lodge toll road found in?
A. new jersey
B. eastern united states
C. good repair
D. connecticut
E. arizona",the correct choice is D which is connecticut.
"Based on the question about clown, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The man went to clown college, he had always want to run away with the what?
A. circus
B. carnival
C. surprise
D. spoons
E. party",the correct choice is A which is circus.
"Based on the question about reduce, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?
A. gain weight
B. augment
C. dispare
D. make larger
E. expand",the correct choice is A which is gain weight.
"Based on the question about losing consciousness, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?
A. death
B. coma
C. peace
D. forgetfulness
E. loss of life",the correct choice is A which is death.
"Based on the question about meeting people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If someone is aloof and self-important, what is their experience when meeting people?
A. stress
B. nervousness
C. smile
D. being bored
E. making new friends",the correct choice is D which is being bored.
"Based on the question about metal rod, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He was receiving workman's compensation, he had tripped over a metal rod while building where?
A. factory
B. construction site
C. engine
D. insides of skyscraper's walls
E. shops",the correct choice is B which is construction site.
"Based on the question about communicating, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?
A. static
B. train of thought.
C. progress
D. transfer of information
E. collaboration",the correct choice is C which is progress.
"Based on the question about dog, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When you play around with your dog they will have?
A. alive
B. health
C. fun
D. playing dead
E. black",the correct choice is C which is fun.
"Based on the question about book, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would a person keep a book while it's being read?
A. closet
B. library of congress
C. classroom
D. in bed
E. desk",the correct choice is E which is desk.
"Based on the question about pencils, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The student needed to  get some new pencils, where did he go?
A. store
B. classroom
C. backpack
D. cabinet
E. teacher",the correct choice is A which is store.
"Based on the question about buying products, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
She loved buying products, she was driven by her what to shop more than any practical needs?
A. desire
B. money
C. time
D. credit
E. spending money",the correct choice is A which is desire.
"Based on the question about getting paid, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
How does getting paid feel?
A. income tax
B. satisfaction
C. sorrow
D. ocean
E. bill collectors to happy",the correct choice is B which is satisfaction.
"Based on the question about possible, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The fat man refused to accept what was possible, he complained that he what the simplest activities?
A. no go
B. unlikely
C. unable
D. cant do
E. impossibility",the correct choice is D which is cant do.
"Based on the question about meat, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can meat last a long time?
A. backery
B. ham sandwich
C. fridge
D. butcher shop
E. freezer",the correct choice is E which is freezer.
"Based on the question about cello, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What group of musicians will include someone playing the cello?
A. ocean
B. symphony
C. band
D. music store
E. music shop",the correct choice is B which is symphony.
"Based on the question about bee, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where do bees congregate with red flowerS?
A. trash can
B. honey
C. bouquet of flowers
D. rose garden
E. field of flowers",the correct choice is D which is rose garden.
"Based on the question about getting drunk, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is someone who gets angry after getting drunk likely to participate in?
A. violence
B. falling down
C. vomiting
D. vomiting
E. lower standards",the correct choice is A which is violence.
"Based on the question about listening, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The teacher told all the students that listening was key, it was the main way they would gain what?
A. empathy
B. anxiety
C. knowlege
D. falling down
E. hear things",the correct choice is C which is knowlege.
"Based on the question about dream, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Stanley had a dream that was very vivid and scary. He had trouble telling it from what?
A. reality
B. imagination
C. dreamworker
D. nightmare
E. awake",the correct choice is A which is reality.
"Based on the question about garden, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The city's community garden was demolished for yet another what?
A. wasteland
B. ocean
C. desert
D. parking lot
E. flowers",the correct choice is D which is parking lot.
"Based on the question about cat, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
WHat do cats get into when they are ripping things apart?
A. dog's mouth
B. floor
C. garage
D. trouble
E. nature",the correct choice is D which is trouble.
"Based on the question about losing weight, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is a good result of losing weight?
A. increased energy
B. healthier
C. loose skin
D. beauty
E. death",the correct choice is B which is healthier.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
A person lived in my what?
A. demonstration
B. conference
C. building
D. garage
E. mouth",the correct choice is D which is garage.
"Based on the question about skin, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The skin was cut while chopping onions, where was this skin likely cut?
A. good health
B. finger
C. meat
D. body
E. own family",the correct choice is B which is finger.
"Based on the question about doing housework, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What might you feel after doing housework for hours?
A. anger
B. not boredom
C. stress
D. boredom
E. anxiety",the correct choice is C which is stress.
"Based on the question about calculator, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The accountant used a calculator regularly, he kept one at home and one at the what?
A. desk drawer
B. desktop
C. office
D. wristwatch
E. city hall",the correct choice is C which is office.
"Based on the question about waiter, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
At the end of your meal what will a waiter do?
A. serve food
B. eat
C. set table
D. serve meal
E. present bill",the correct choice is E which is present bill.
"Based on the question about glad, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you aren't glad, unhappy or gloomy, what illness may you have?
A. depressed
B. downcast
C. angry
D. unhappy
E. sorrowful",the correct choice is A which is depressed.
"Based on the question about hear testimony, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
You can hear testimony of how spirituality changes lives when you do what?
A. go to church
B. appear in court
C. watch soap operas
D. paying attention
E. go into court",the correct choice is A which is go to church.
"Based on the question about rest, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
It was a great rest, she had never felt this much what in the morning?
A. active
B. hunger
C. in motion
D. wakefulness
E. lay down",the correct choice is D which is wakefulness.
"Based on the question about temple, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Which region has the most famous temple?
A. jerusalem
B. jewish community
C. middle east
D. city
E. mosque",the correct choice is C which is middle east.
"Based on the question about bee, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you find a bee gathering pollen?
A. united states
B. sky
C. court
D. field of flowers
E. orchard",the correct choice is D which is field of flowers.
"Based on the question about folding chair, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?
A. roof
B. school
C. beach
D. closet
E. garage",the correct choice is D which is closet.
"Based on the question about getting divorce, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you're speaking to a lawyer about getting a divorce, what relationship status are you trying to end?
A. being married
B. sisters
C. marriage
D. two people
E. lawyer",the correct choice is A which is being married.
"Based on the question about geese, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
How do geese normally get from place to place?
A. carried by people
B. guard house
C. fly
D. follow ultralight airplane
E. group together",the correct choice is C which is fly.
"Based on the question about punching, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?
A. hostility
B. anger
C. nose
D. fists
E. hands",the correct choice is E which is hands.
"Based on the question about small dog, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?
A. living room
B. dog park
C. basket
D. small apartment
E. big house",the correct choice is E which is big house.
"Based on the question about death, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
WHat leads to someone's death when they are very depressed?
A. suicide
B. overdosing
C. sadness
D. murder
E. cyanide",the correct choice is A which is suicide.
"Based on the question about staying in bed, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
She was sick and staying in bed the day of the event, unfortunately this meant she was what?
A. resting
B. sleep more
C. bed sores
D. missing out
E. comfort",the correct choice is D which is missing out.
"Based on the question about lizard, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would a lizard surprise a person?
A. new mexico
B. forrest
C. dessert
D. garden
E. creek",the correct choice is D which is garden.
"Based on the question about food, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?
A. picnic
B. friend's house
C. table
D. space shuttle
E. fairgrounds",the correct choice is B which is friend's house.
"Based on the question about heart, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Who is likely yo have a caring heart?
A. person
B. species
C. artichoke
D. all mammals
E. live animal",the correct choice is A which is person.
"Based on the question about alcohol, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
I'm looking for alcohol and fried foods, any suggestions?
A. pub
B. plane
C. beer
D. store
E. fraternity house",the correct choice is A which is pub.
"Based on the question about jar, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If I had a jar which was likely to spoil if left out, where would I want to put it?
A. kitchen cupboard
B. pantry
C. grocery store
D. pantry
E. refrigerator",the correct choice is E which is refrigerator.
"Based on the question about blowfish, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?
A. books
B. france
C. fish market
D. atlantic ocean
E. cuba",the correct choice is B which is france.
"Based on the question about skin, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What will happen to skin pinched in something?
A. feel cold
B. feel pressure
C. feel bumpy
D. itches
E. feel clammy",the correct choice is B which is feel pressure.
"Based on the question about kite, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.
A. child's hand
B. the last straw
C. hobby shop
D. end of line
E. toy store",the correct choice is D which is end of line.
"Based on the question about grooming, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The man uses grooming before a job interview, what is he trying to portray?
A. looking good
B. beauty
C. tardiness
D. handsomeness
E. neatness",the correct choice is E which is neatness.
"Based on the question about chair, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would there be many people sitting in chair and listening to religious speech?
A. auditorium
B. office
C. synagogue
D. confession
E. church",the correct choice is C which is synagogue.
"Based on the question about tabby cat, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is a tabby cat likely to be happiest?
A. box
B. home
C. alley
D. lap
E. barn",the correct choice is D which is lap.
"Based on the question about coast, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
East coast areas such as Florida are found where?
A. florida
B. denmark
C. united states
D. map
E. california",the correct choice is C which is united states.
"Based on the question about learn, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
To learn must have the right book, to work efficiently what must one have?
A. improve yourself
B. become knowledgeable
C. have tools
D. persistence
E. have more knowledge",the correct choice is C which is have tools.
"Based on the question about launching platform, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is a mobile launching platform found in the ocean?
A. launch pad
B. circus
C. aircraft carrier
D. large open area
E. space station",the correct choice is C which is aircraft carrier.
"Based on the question about snake, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
There weren't potatoes but actually a snake in his what?
A. burlap sack
B. hot country
C. purse
D. pet shops
E. deep grass",the correct choice is A which is burlap sack.
